Data,Prezzo,Giorni_dal_lancio,Trimestre,Modello
2022-09-16,1029.0,0,T1,iPhone14
2022-09-17,1029.0,1,T1,iPhone14
2022-09-18,1029.0,2,T1,iPhone14
2022-09-19,1029.0,3,T1,iPhone14
2022-09-20,1029.0,4,T1,iPhone14
2022-09-21,1029.0,5,T1,iPhone14
2022-09-22,1029.0,6,T1,iPhone14
2022-09-23,1029.0,7,T1,iPhone14
2022-09-24,1029.0,8,T1,iPhone14
2022-09-25,1029.0,9,T1,iPhone14
2022-09-26,1029.0,10,T1,iPhone14
2022-09-27,1029.0,11,T1,iPhone14
2022-09-28,1029.0,12,T1,iPhone14
2022-09-29,1029.0,13,T1,iPhone14
2022-09-30,1029.0,14,T1,iPhone14
2022-10-01,999.0,15,T1,iPhone14
2022-10-02,999.0,16,T1,iPhone14
2022-10-03,999.0,17,T1,iPhone14
2022-10-04,999.0,18,T1,iPhone14
2022-10-05,999.0,19,T1,iPhone14
2022-10-06,999.0,20,T1,iPhone14
2022-10-07,999.0,21,T1,iPhone14
2022-10-08,1029.0,22,T1,iPhone14
2022-10-09,1029.0,23,T1,iPhone14
2022-10-10,1029.0,24,T1,iPhone14
2022-10-11,1029.0,25,T1,iPhone14
2022-10-12,1029.0,26,T1,iPhone14
2022-10-13,1029.0,27,T1,iPhone14
2022-10-14,1029.0,28,T1,iPhone14
2022-10-15,1029.0,29,T1,iPhone14
2022-10-16,1029.0,30,T1,iPhone14
2022-10-17,1029.0,31,T1,iPhone14
2022-10-18,1029.0,32,T1,iPhone14
2022-10-19,1029.0,33,T1,iPhone14
2022-10-20,1029.0,34,T1,iPhone14
2022-10-21,1029.0,35,T1,iPhone14
2022-10-22,1029.0,36,T1,iPhone14
2022-10-23,1029.0,37,T1,iPhone14
2022-10-24,1029.0,38,T1,iPhone14
2022-10-25,1029.0,39,T1,iPhone14
2022-10-26,1029.0,40,T1,iPhone14
2022-10-27,1029.0,41,T1,iPhone14
2022-10-28,1029.0,42,T1,iPhone14
2022-10-29,1029.0,43,T1,iPhone14
2022-10-30,1029.0,44,T1,iPhone14
2022-10-31,1029.0,45,T1,iPhone14
2022-11-01,979.0,46,T1,iPhone14
2022-11-02,979.0,47,T1,iPhone14
2022-11-03,979.0,48,T1,iPhone14
2022-11-04,979.0,49,T1,iPhone14
2022-11-05,979.0,50,T1,iPhone14
2022-11-06,979.0,51,T1,iPhone14
2022-11-07,979.0,52,T1,iPhone14
2022-11-08,979.0,53,T1,iPhone14
2022-11-09,979.0,54,T1,iPhone14
2022-11-10,979.0,55,T1,iPhone14
2022-11-11,1029.0,56,T1,iPhone14
2022-11-12,1029.0,57,T1,iPhone14
2022-11-13,1029.0,58,T1,iPhone14
2022-11-14,1029.0,59,T1,iPhone14
2022-11-15,1029.0,60,T1,iPhone14
2022-11-16,1029.0,61,T1,iPhone14
2022-11-17,1029.0,62,T1,iPhone14
2022-11-18,1029.0,63,T1,iPhone14
2022-11-19,1029.0,64,T1,iPhone14
2022-11-20,1029.0,65,T1,iPhone14
2022-11-21,1029.0,66,T1,iPhone14
2022-11-22,1029.0,67,T1,iPhone14
2022-11-23,1029.0,68,T1,iPhone14
2022-11-24,1029.0,69,T1,iPhone14
2022-11-25,1029.0,70,T1,iPhone14
2022-11-26,1029.0,71,T1,iPhone14
2022-11-27,1029.0,72,T1,iPhone14
