Data,Prezzo,Giorni_dal_lancio,Trimestre,Modello
2023-09-16,979.0,0,T1,iPhone15
2023-09-17,979.0,1,T1,iPhone15
2023-09-18,979.0,2,T1,iPhone15
2023-09-19,979.0,3,T1,iPhone15
2023-09-20,979.0,4,T1,iPhone15
2023-09-21,979.0,5,T1,iPhone15
2023-09-22,979.0,6,T1,iPhone15
2023-09-23,979.0,7,T1,iPhone15
2023-09-24,979.0,8,T1,iPhone15
2023-09-25,979.0,9,T1,iPhone15
2023-09-26,979.0,10,T1,iPhone15
2023-09-27,979.0,11,T1,iPhone15
2023-09-28,979.0,12,T1,iPhone15
2023-09-29,979.0,13,T1,iPhone15
2023-09-30,979.0,14,T1,iPhone15
2023-10-01,979.0,15,T1,iPhone15
2023-10-02,979.0,16,T1,iPhone15
2023-10-03,979.0,17,T1,iPhone15
2023-10-04,979.0,18,T1,iPhone15
2023-10-05,979.0,19,T1,iPhone15
2023-10-06,979.0,20,T1,iPhone15
2023-10-07,979.0,21,T1,iPhone15
2023-10-08,979.0,22,T1,iPhone15
2023-10-09,979.0,23,T1,iPhone15
2023-10-10,979.0,24,T1,iPhone15
2023-10-11,979.0,25,T1,iPhone15
2023-10-12,979.0,26,T1,iPhone15
2023-10-13,979.0,27,T1,iPhone15
2023-10-14,979.0,28,T1,iPhone15
2023-10-15,979.0,29,T1,iPhone15
2023-10-16,979.0,30,T1,iPhone15
2023-10-17,979.0,31,T1,iPhone15
2023-10-18,979.0,32,T1,iPhone15
2023-10-19,979.0,33,T1,iPhone15
2023-10-20,979.0,34,T1,iPhone15
2023-10-21,979.0,35,T1,iPhone15
2023-10-22,979.0,36,T1,iPhone15
2023-10-23,979.0,37,T1,iPhone15
2023-10-24,979.0,38,T1,iPhone15
2023-10-25,979.0,39,T1,iPhone15
2023-10-26,979.0,40,T1,iPhone15
2023-10-27,979.0,41,T1,iPhone15
2023-10-28,979.0,42,T1,iPhone15
2023-10-29,979.0,43,T1,iPhone15
2023-10-30,979.0,44,T1,iPhone15
2023-10-31,979.0,45,T1,iPhone15
2023-11-01,929.0,46,T1,iPhone15
2023-11-02,929.0,47,T1,iPhone15
2023-11-03,929.0,48,T1,iPhone15
2023-11-04,929.0,49,T1,iPhone15
2023-11-05,929.0,50,T1,iPhone15
2023-11-06,929.0,51,T1,iPhone15
2023-11-07,929.0,52,T1,iPhone15
2023-11-08,929.0,53,T1,iPhone15
2023-11-09,929.0,54,T1,iPhone15
2023-11-10,929.0,55,T1,iPhone15
2023-11-11,929.0,56,T1,iPhone15
2023-11-12,929.0,57,T1,iPhone15
2023-11-13,929.0,58,T1,iPhone15
2023-11-14,979.0,59,T1,iPhone15
2023-11-15,979.0,60,T1,iPhone15
2023-11-16,979.0,61,T1,iPhone15
2023-11-17,899.0,62,T1,iPhone15
2023-11-18,899.0,63,T1,iPhone15
2023-11-19,899.0,64,T1,iPhone15
2023-11-20,899.0,65,T1,iPhone15
2023-11-21,899.0,66,T1,iPhone15
2023-11-22,979.0,67,T1,iPhone15
2023-11-23,899.0,68,T1,iPhone15
2023-11-24,899.0,69,T1,iPhone15
2023-11-25,899.0,70,T1,iPhone15
2023-11-26,899.0,71,T1,iPhone15
2023-11-27,899.0,72,T1,iPhone15
2023-11-28,899.0,73,T1,iPhone15
2023-11-29,899.0,74,T1,iPhone15
2023-12-01,949.0,76,T1,iPhone15
2023-12-02,949.0,77,T1,iPhone15
