day_start,day_end,price
16-09-2023,31-10-2023,979.0
01-11-2023,13-11-2023,929.0
14-11-2023,16-11-2023,979.0
17-11-2023,21-11-2023,899.0
22-11-2023,22-11-2023,979.0
23-11-2023,29-11-2023,899.0
01-12-2023,04-12-2023,949.0
05-12-2023,06-12-2023,899.0
07-12-2023,07-12-2023,979.0
08-12-2023,11-12-2023,879.0
12-12-2023,12-12-2023,839.0
13-12-2023,13-12-2023,879.0
14-12-2023,15-12-2023,839.0
16-12-2023,16-12-2023,879.0
17-12-2023,17-12-2023,839.0
18-12-2023,22-12-2023,899.0
23-12-2023,23-12-2023,839.0
24-12-2023,24-12-2023,899.0
25-12-2023,25-12-2023,979.0
26-12-2023,02-01-2024,899.0
03-01-2024,11-01-2024,859.0
11-01-2024,17-01-2024,849.0
18-01-2024,18-01-2024,879.0
19-01-2024,08-02-2024,849.0
09-02-2024,11-02-2024,825.0
12-02-2024,14-02-2024,829.0
15-02-2024,05-03-2024,799.0
06-03-2024,11-03-2024,819.0
12-03-2024,13-03-2024,799.9
14-03-2024,10-04-2024,799.0
11-04-2024,17-04-2024,779.0
18-04-2024,21-04-2024,769.99
22-04-2024,24-04-2024,779.0
25-04-2024,01-05-2024,769.0
02-05-2024,02-05-2024,799.0
03-05-2024,13-05-2024,779.0
15-05-2024,15-05-2024,749.0
16-05-2024,22-05-2024,779.0
23-05-2024,01-06-2024,749.0
02-06-2024,02-06-2024,799.0
02-06-2024,02-06-2024,799.0
05-06-2024,05-06-2024,759.0
06-06-2024,04-07-2024,779.0
05-07-2024,05-07-2024,819.0
06-07-2024,21-07-2024,749.0
22-07-2024,11-09-2024,769.0
12-09-2024,14-09-2024,789.0
15-09-2024,26-09-2024,759.0
27-09-2024,01-10-2024,769.0
02-10-2024,03-10-2024,789.0
04-10-2024,04-10-2024,749.0
05-10-2024,15-10-2024,719.0
16-10-2024,20-10-2024,729.0
21-10-2024,21-10-2024,799.0
22-10-2024,31-10-2024,769.0
01-11-2024,13-11-2024,749.0
14-11-2024,14-11-2024,731.99
15-11-2024,18-11-2024,701.99
19-11-2024,20-11-2024,731.99
21-11-2024,02-12-2024,691.99
03-12-2024,05-12-2024,749.0
06-12-2024,06-12-2024,699.0
07-12-2024,07-12-2024,703.99
08-12-2024,11-12-2024,699.0
12-12-2024,12-12-2024,701.99
13-12-2024,15-12-2024,699.0
16-12-2024,17-12-2024,749.0
18-12-2024,23-01-2025,731.99
24-01-2025,26-01-2025,699.0
27-01-2025,31-01-2025,731.99
01-02-2025,04-02-2025,699.0
05-02-2025,05-02-2025,729.0
06-02-2025,06-02-2025,749.0
07-02-2025,12-02-2025,741.99
13-02-2025,14-02-2025,739.0
15-02-2025,19-02-2025,749.0
20-02-2025,20-02-2025,729.0
21-02-2025,26-02-2025,749.0
27-02-2025,28-02-2025,699.0
01-03-2025,05-03-2025,701.99
06-03-2025,06-03-2025,749.0
07-03-2025,07-03-2025,741.99
08-03-2025,12-03-2025,731.99
13-03-2025,13-03-2025,729.0
14-03-2025,16-03-2025,699.0
17-03-2025,19-03-2025,729.0
20-03-2025,24-03-2025,699.0
25-03-2025,02-04-2025,719.0
03-04-2025,15-05-2025,699.0
16-05-2025,19-05-2025,669.0
20-05-2025,21-05-2025,699.0
22-05-2025,22-05-2025,669.0
23-05-2025,23-05-2025,649.0
24-05-2025,30-05-2025,645.0
31-05-2025,31-05-2025,729.0
01-06-2025,04-06-2025,645.0
05-06-2025,05-06-2025,699.0
06-06-2025,10-06-2025,679.0
11-06-2025,18-06-2025,669.0
19-06-2025,19-06-2025,699.0
20-06-2025,26-06-2025,659.0
